iter	Passed	Remaining
874	44900	57729
875	44955	57682
876	45011	57637
877	45063	57586
878	45115	57536
879	45165	57482
880	45227	57445
881	45273	57387
882	45326	57337
883	45377	57286
884	45425	57231
885	45477	57180
886	45527	57127
887	45591	57092
888	45644	57042
889	45693	56988
890	45751	56945
891	45810	56903
892	45870	56862
893	45914	56802
894	45970	56756
895	46020	56703
896	46074	56655
897	46122	56600
898	46175	56551
899	46231	56505
900	46276	56446
901	46330	56397
902	46377	56341
903	46426	56287
904	46474	56231
905	46522	56176
906	46571	56122
907	46626	56074
908	46678	56024
909	46731	55975
910	46789	55932
911	46853	55895
912	46901	55840
913	46953	55789
914	47002	55735
915	47059	55690
916	47113	55641
917	47166	55592
918	47217	55540
919	47270	55491
920	47323	55441
921	47371	55386
922	47421	55333
923	47473	55282
924	47521	55228
925	47574	55177
926	47641	55144
927	47691	55092
928	47744	55042
929	47798	54993
930	47857	54950
931	47908	54899
932	47956	54843
933	48025	54812
934	48078	54763
935	48129	54711
936	48180	54659
937	48233	54609
938	48293	54568
939	48343	54514
940	48395	54463
941	48443	54408
942	48500	54363
943	48558	54319
944	48611	54270
945	48666	54222
946	48714	54167
947	48781	54133
948	48838	54088
949	48891	54037
950	48944	53987
951	48991	53932
952	49042	53879
953	49100	53835
954	49155	53788
955	49207	53737
956	49257	53683
957	49306	53629
958	49358	53578
959	49414	53532
960	49463	53478
961	49511	53423
962	49562	53371
963	49607	53312
964	49654	53256
965	49699	53198
966	49752	53148
967	49812	53105
968	49866	53057
969	49918	53006
970	49969	52954
971	50019	52901
972	50063	52841
973	50113	52789
974	50162	52734
975	50208	52677
976	50258	52624
977	50309	52573
978	50365	52526
979	50418	52476
980	50466	52421
981	50526	52378
982	50576	52326
983	50626	52272
984	50675	52219
985	50723	52163
986	50773	52110
987	50832	52067
988	50882	52014
989	50932	51961
990	50984	51910
991	51043	51867
992	51090	51810
993	51157	51775
994	51209	51723
995	51259	51671
996	51312	51621
997	51363	51569
998	51413	51516
999	51461	51461
1000	51513	51410
1001	51565	51359
1002	51615	51307
1003	51670	51258
1004	51723	51208
1005	51779	51161
1006	51829	51108
1007	51892	51068
1008	51938	51012
1009	51990	50960
1010	52037	50905
1011	52087	50852
1012	52148	50810
1013	52202	50761
1014	52254	50709
1015	52302	50654
1016	52353	50603
1017	52419	50565
1018	52473	50516
1019	52527	50467
1020	52576	50413
1021	52630	50364
1022	52677	50308
1023	52729	50258
1024	52795	50219
1025	52856	50177
1026	52902	50121
1027	52949	50065
1028	52999	50012
1029	53053	49962
1030	53104	49911
1031	53156	49860
1032	53208	49809
1033	53262	49760
